a,SALES_VALUE,age_19-24,age_25-34,age_35-44,age_45-54,age_55-64,age_65+,income_-15K,income_015-024K,income_025-034K,income_035-049K,income_050-074K,income_075-099K,income_100-124K,income_125-149K,income_150-174K,income_175-199K,income_200-249K,income_250K+,a,b,c,d,e
SALES_VALUE,,-0.026235752245045478,0.006296331768374048,0.05669316515575472,-0.034368252259710935,0.01841858514670697,-0.03970334391430855,-0.03324166267658797,-0.00045266254251240614,-0.034845354732123045,0.04066176830975485,0.028764478024749962,-0.022269687541461792,-0.02537367463758805,0.005073539279148556,-0.004502715069008064,0.04445838057823296,0.0027256991366643333,-0.021609182598871648,-0.03440944399360997,0.10261143512183586,-0.013419249379899915,0.0007675628879986301,-0.07593505114852367
age_19-24,-0.026235752245045478,,-0.0978781390328469,-0.11438520000373291,-0.15308149820694192,-0.05622258103663704,-0.054978579610526476,0.1932931428089278,0.020092927931058255,0.0007427234942407254,-0.027509503551418776,-0.027883441774712733,-0.05368603901586863,-0.03914688570814455,-0.05744751149277726,-0.04559474286666244,-0.029590058358393987,0.04056489531431261,0.08330561072820616,-0.037828825848182104,0.014825273966319242,-0.007193023595305015,0.00510288036570531,0.037101517839086044
age_25-34,0.006296331768374048,-0.0978781390328469,,-0.2836271995680446,-0.3795777481763044,-0.1394083606217251,-0.13632376015999942,-0.06264888219635834,0.0333042830285296,0.02608992786512251,0.03079386952078026,0.06856241729897908,-0.10631863621501293,0.07127874134575117,-0.022782652142443027,0.054333371984303186,-0.07337090276514877,-0.004351306445954359,-0.08225955654815406,-0.0037454694169723837,0.013468762688987218,0.0017340238620218902,0.020312666739706952,-0.051273847607778256
age_35-44,0.05669316515575472,-0.11438520000373291,-0.2836271995680446,,-0.44359319732821545,-0.16291945647391096,-0.15931464089166833,-0.09121630600072242,0.02849810329089011,-0.02781852664688869,0.03416623472412218,-0.01545752718474459,0.08474540454755518,-0.025242949304327602,-0.0097430219775927,0.040524416747258776,-0.04747454427343086,0.05820206398226108,-0.036063287105087855,0.012828913291302061,-0.0708702577281105,-0.026774367982755173,0.0806712173473085,-0.009743021977592716
age_45-54,-0.034368252259710935,-0.15308149820694192,-0.3795777481763044,-0.44359319732821545,,-0.21803480243310364,-0.2132104845137463,-0.025268329189216582,-0.06504176521257754,0.007298699547233695,-0.09879103363853327,0.03351700498318212,0.04323394011769938,-0.08608190513468757,0.11362313627168488,-0.07387983988241073,0.11628404407069587,-0.04642031371952593,0.11694053735284472,0.03736458425125827,0.016657196592535575,0.03401735573396869,-0.08292524888861388,0.006159374356190793
age_55-64,0.01841858514670697,-0.05622258103663704,-0.1394083606217251,-0.16291945647391096,-0.21803480243310364,,-0.07830628706827446,0.10606617758063701,-0.026921142907069488,-0.014025742777387027,0.012833644819717582,-0.07911258391652712,-0.019017945202115704,0.13831801722607154,-0.07320084722145709,0.06169665846890094,0.036805735281194796,-0.017048891475531458,-0.04725104737140976,-0.04005631768398033,0.024840527239641287,-0.016660720135089662,0.03213778418764916,-0.004225224621302047
age_65+,-0.03970334391430855,-0.054978579610526476,-0.13632376015999942,-0.15931464089166833,-0.2132104845137463,-0.07830628706827446,,0.04575267799553871,0.0355335121993114,0.006574947223537872,0.0882259562983855,-0.041410078876811814,-0.0006016986821456605,-0.01743169409550713,-0.04485862382681202,-0.04199014402945029,-0.04121275760480394,-0.016671661456595203,-0.046205553386049675,-0.01712615109325471,0.030773121771686337,0.0007131725465744285,-0.047612513267400784,0.06060258107920311
income_-15K,-0.03324166267658797,0.1932931428089278,-0.06264888219635834,-0.09121630600072242,-0.025268329189216582,0.10606617758063701,0.04575267799553871,,-0.09391991870015436,-0.09091817409749281,-0.13716759107590118,-0.18067164606813077,-0.11478635333990435,-0.06143645646278625,-0.09015714723858526,-0.07155561379629571,-0.0464381342010142,-0.01878546588653901,-0.052063967899189975,0.06443815699262626,-0.06179441295062306,-0.008103608504948435,0.025149449225218907,-0.03451328292727116
income_015-024K,-0.00045266254251240614,0.020092927931058255,0.0333042830285296,0.02849810329089011,-0.06504176521257754,-0.026921142907069488,0.0355335121993114,-0.09391991870015436,,-0.08782999734449017,-0.13250848116491634,-0.1745348534757501,-0.11088745687101527,-0.05934967196102071,-0.08709481994282336,-0.06912511642581459,-0.04486079096996057,-0.018147388410598767,-0.05029553450364974,-0.02550117738893016,-0.0373273649741258,-0.025887934228990273,0.09134874382421662,-0.021655369632522823
income_025-034K,-0.034845354732123045,0.0007427234942407254,0.02608992786512251,-0.02781852664688869,0.007298699547233695,-0.014025742777387027,0.006574947223537872,-0.09091817409749281,-0.08782999734449017,,-0.12827341981000384,-0.16895660062323806,-0.10734341818601585,-0.05745281600176992,-0.08431121014735937,-0.06691583060006881,-0.04342700952052243,-0.017567385510598638,-0.048688054947409215,-0.000327261488364298,-0.024147017714235365,-0.02579270630109117,0.0410728332652838,0.008152448144657523
income_035-049K,0.04066176830975485,-0.027509503551418776,0.03079386952078026,0.03416623472412218,-0.09879103363853327,0.012833644819717582,0.0882259562983855,-0.13716759107590118,-0.13250848116491634,-0.12827341981000384,,-0.2549036002308109,-0.16194823792479562,-0.08667864758303494,-0.12719971239420258,-0.10095542920177697,-0.0655180148819588,-0.02650378734406355,-0.07345531603115808,-0.049602745021938774,0.004991184451284457,-0.06498058081370046,0.03607097191753102,0.11182063471364838
income_050-074K,0.028764478024749962,-0.027883441774712733,0.06856241729897908,-0.01545752718474459,0.03351700498318212,-0.07911258391652712,-0.041410078876811814,-0.18067164606813077,-0.1745348534757501,-0.16895660062323806,-0.2549036002308109,,-0.21331171958480477,-0.11416963595373954,-0.16754235630584466,-0.1329744397370563,-0.0862976997918557,-0.034909725022742824,-0.09675239432075847,0.020873691415601834,-0.029618413654033022,0.048174028551336,-0.021138268295842998,-0.032148696292051346
income_075-099K,-0.022269687541461792,-0.05368603901586863,-0.10631863621501293,0.08474540454755518,0.04323394011769938,-0.019017945202115704,-0.0006016986821456605,-0.11478635333990435,-0.11088745687101527,-0.10734341818601585,-0.16194823792479562,-0.21331171958480477,,-0.07253554422331047,-0.10644490449304622,-0.08448282482065846,-0.05482763054581984,-0.02217924128475732,-0.06146982530283772,-0.02700358300099204,0.07192811220563357,0.03154042047861751,-0.07952414933988318,0.0189756186276653
income_100-124K,-0.02537367463758805,-0.03914688570814455,0.07127874134575117,-0.025242949304327602,-0.08608190513468757,0.13831801722607154,-0.01743169409550713,-0.06143645646278625,-0.05934967196102071,-0.05745281600176992,-0.08667864758303494,-0.11416963595373954,-0.07253554422331047,,-0.056971909554500565,-0.04521726875996844,-0.02934508536055027,-0.011870870987021349,-0.032900150027501934,-0.0120557814173498,0.06628666561529496,0.02331610266674849,-0.0348516698547927,-0.05697190955450087
income_125-149K,0.005073539279148556,-0.05744751149277726,-0.022782652142443027,-0.0097430219775927,0.11362313627168488,-0.07320084722145709,-0.04485862382681202,-0.09015714723858526,-0.08709481994282336,-0.08431121014735937,-0.12719971239420258,-0.16754235630584466,-0.10644490449304622,-0.056971909554500565,,-0.06635571437602124,-0.04306350551293011,-0.017420338428461163,-0.048280513574182955,0.007640242030358855,0.07230897752614122,-0.033404422954507275,-0.010512412010041262,-0.04127714728935026
income_150-174K,-0.004502715069008064,-0.04559474286666244,0.054333371984303186,0.040524416747258776,-0.07387983988241073,0.06169665846890094,-0.04199014402945029,-0.07155561379629571,-0.06912511642581459,-0.06691583060006881,-0.10095542920177697,-0.1329744397370563,-0.08448282482065846,-0.04521726875996844,-0.06635571437602124,,-0.034178494590599566,-0.013826114145881249,-0.03831911156259606,0.004562034636020413,-0.0488749668949548,0.05970052299749073,-0.030861735229760576,0.016538961941615544
income_175-199K,0.04445838057823296,-0.029590058358393987,-0.07337090276514877,-0.04747454427343086,0.11628404407069587,0.036805735281194796,-0.04121275760480394,-0.0464381342010142,-0.04486079096996057,-0.04342700952052243,-0.0655180148819588,-0.0862976997918557,-0.05482763054581984,-0.02934508536055027,-0.04306350551293011,-0.034178494590599566,,-0.00897286614035365,-0.024868322005780846,0.07817452544883885,-0.03680284112190345,0.021230988298848754,-0.04957913998721305,-0.012055538652708172
income_200-249K,0.0027256991366643333,0.04056489531431261,-0.004351306445954359,0.05820206398226108,-0.04642031371952593,-0.017048891475531458,-0.016671661456595203,-0.01878546588653901,-0.018147388410598767,-0.017567385510598638,-0.02650378734406355,-0.034909725022742824,-0.02217924128475732,-0.011870870987021349,-0.017420338428461163,-0.013826114145881249,-0.00897286614035365,,-0.010059900612563275,0.023004710481953978,0.02450421031151058,-0.014027886528383528,-0.038498081836838616,0.020210314504892492
income_250K+,-0.021609182598871648,0.08330561072820616,-0.08225955654815406,-0.036063287105087855,0.11694053735284472,-0.04725104737140976,-0.046205553386049675,-0.052063967899189975,-0.05029553450364974,-0.048688054947409215,-0.07345531603115808,-0.09675239432075847,-0.06146982530283772,-0.032900150027501934,-0.048280513574182955,-0.03831911156259606,-0.024868322005780846,-0.010059900612563275,,-0.04134741829798553,0.02909575061893526,-0.009627013623585937,0.02414928261228682,-0.006563132313990206
a,-0.03440944399360997,-0.037828825848182104,-0.0037454694169723837,0.012828913291302061,0.03736458425125827,-0.04005631768398033,-0.01712615109325471,0.06443815699262626,-0.02550117738893016,-0.000327261488364298,-0.049602745021938774,0.020873691415601834,-0.02700358300099204,-0.0120557814173498,0.007640242030358855,0.004562034636020413,0.07817452544883885,0.023004710481953978,-0.04134741829798553,,-0.22160760734155083,-0.28983296344218457,-0.30449539912241985,-0.13778382323312982
b,0.10261143512183586,0.014825273966319242,0.013468762688987218,-0.0708702577281105,0.016657196592535575,0.024840527239641287,0.030773121771686337,-0.06179441295062306,-0.0373273649741258,-0.024147017714235365,0.004991184451284457,-0.029618413654033022,0.07192811220563357,0.06628666561529496,0.07230897752614122,-0.0488749668949548,-0.03680284112190345,0.02450421031151058,0.02909575061893526,-0.22160760734155083,,-0.28285949277276395,-0.2971691457193067,-0.1344687018658978
c,-0.013419249379899915,-0.007193023595305015,0.0017340238620218902,-0.026774367982755173,0.03401735573396869,-0.016660720135089662,0.0007131725465744285,-0.008103608504948435,-0.025887934228990273,-0.02579270630109117,-0.06498058081370046,0.048174028551336,0.03154042047861751,0.02331610266674849,-0.033404422954507275,0.05970052299749073,0.021230988298848754,-0.014027886528383528,-0.009627013623585937,-0.28983296344218457,-0.28285949277276395,,-0.38865729918136466,-0.17586698768851977
d,0.0007675628879986301,0.00510288036570531,0.020312666739706952,0.0806712173473085,-0.08292524888861388,0.03213778418764916,-0.047612513267400784,0.025149449225218907,0.09134874382421662,0.0410728332652838,0.03607097191753102,-0.021138268295842998,-0.07952414933988318,-0.0348516698547927,-0.010512412010041262,-0.030861735229760576,-0.04957913998721305,-0.038498081836838616,0.02414928261228682,-0.30449539912241985,-0.2971691457193067,-0.38865729918136466,,-0.18476396877939374
e,-0.07593505114852367,0.037101517839086044,-0.051273847607778256,-0.009743021977592716,0.006159374356190793,-0.004225224621302047,0.06060258107920311,-0.03451328292727116,-0.021655369632522823,0.008152448144657523,0.11182063471364838,-0.032148696292051346,0.0189756186276653,-0.05697190955450087,-0.04127714728935026,0.016538961941615544,-0.012055538652708172,0.020210314504892492,-0.006563132313990206,-0.13778382323312982,-0.1344687018658978,-0.17586698768851977,-0.18476396877939374,
